Type,Number,Name,End Item,Phantom,Trace Code,Generic Type,Service Kit,Serviceable,Assembly Mode,Location,Organization ID,Revision,View,State,Lifecycle,Source,Default Unit,Gathering Part,Collapsible,Belt Length,Part Cost,Part Classification,Material,_is_helicopter
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,6SHELL_590,SHELL_590,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,6SHELL_839,SHELL_839,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,6SHELL_731,SHELL_731,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,6SHELL_732,SHELL_732,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,6SHELL_840,SHELL_840,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,6SHELL_555,SHELL_555,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,6SHELL_601,SHELL_601,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,6SHELL_832,shell_832,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,6SHELL_561,SHELL_561,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,6SHELL_829,SHELL_829,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,6SHELL_559,SHELL_559,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,6SHELL_833,SHELL_833,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,6SHELL_562,SHELL_562,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,6SHELL_729,SHELL_729,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,6SHELL_738,SHELL_738,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,6SHELL_830,SHELL_830,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,6SHELL_826,SHELL_826,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,6SHELL_603,SHELL_603,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,6SHELL_414A,SHELL_414A,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,6SHELL_745,SHELL_745,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
