Action,Level,Number,Organization ID,Container,Revision,View,Quantity,Unit of Measure,Reference Designators,Trace Code,Find Number,Line Number,Component Reference,Quantity Option,Inclusion Option,Type,Component Id,Foot Print,Symbol Name
Action,Level,Number,Organization ID,Container,Revision,View,Quantity,Unit of Measure,Reference Designators,Trace Code,Find Number,Line Number,Component Reference,Quantity Option,Inclusion Option,Type,Component Id,footPrint,symbolName
,0,100 SNOW,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,-,Service,,,,,,,,,,,,,
Add,2,1020287,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,1.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,24da28cc-491c-4993-898e-f20c59e37e06,,
Add,3,5138700,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,2.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,88b6b3f0-3180-497d-8c5b-3639f2df9ea9,,
Add,3,5338161,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,1.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,20f63646-ec57-441f-9323-6c08012a836e,,
Add,2,1019139,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,1.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,1faaf56c-7f39-42eb-b7ea-7986c4cf7dcd,,
Add,3,7661637,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,13.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,2e40e93d-0af9-46a6-bc64-14f6d1a754e2,,
Add,3,5256783,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,1.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,2678a5da-bd9f-43b4-a51f-a0031ffbc859,,
Add,2,ORG_HEAT_EXCHANGER_ASSY,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,1.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,69c0b78a-caf5-4b81-8faa-c6f93376db6a,,
Add,3,7547421,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,3.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,a572499f-cce1-4822-803b-74a55a137af5,,
Add,3,5258817,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,1.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,f0f83beb-6dc4-4f9d-9c26-439fcaa8ae25,,
Add,3,5256426,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,2.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,9766abd4-e9f2-4003-9297-ef6ded3cd362,,
Add,3,5258346,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,1.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,e00935fc-6572-4cbd-8d06-9cc1846e950b,,
Add,3,5258829,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,1.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,39af4c10-5ac5-4211-8bde-e9c93a7ecebe,,
